Episode,Total Reward,Epsilon,Gamma,LR,Xpos,Ypos,max_steps,step_count
0.0,56.220000000000006,1.0,0.99,0.001,611.1737000179367,681.2689178842778,500.0,26.0
1.0,33.63,0.995,0.99,0.001,583.7779663083894,698.7436925108557,500.0,17.0
2.0,57.81999999999999,0.990025,0.99,0.001,626.5390965208938,679.7743899066938,500.0,26.0
3.0,52.80000000000001,0.985074875,0.99,0.001,646.9529012261142,657.3998746766298,500.0,23.0
4.0,34.760000000000005,0.9801495006250001,0.99,0.001,507.5232665207411,736.2314132709215,500.0,25.0
5.0,61.879999999999995,0.9752487531218751,0.99,0.001,626.3313216278464,667.4818635460985,500.0,32.0
6.0,29.589999999999982,0.9703725093562657,0.99,0.001,478.6080693753711,637.1765104897047,500.0,17.0
7.0,73.08000000000001,0.9655206468094844,0.99,0.001,638.6619306961201,658.8207434343423,500.0,36.0
8.0,28.11,0.960693043575437,0.99,0.001,562.7140362757401,720.2928017434548,500.0,16.0
9.0,31.690000000000005,0.9558895783575597,0.99,0.001,581.855781623417,709.5414593191731,500.0,17.0
10.0,48.25000000000003,0.9511101304657719,0.99,0.001,552.5724866147438,715.1202681910684,500.0,27.0
11.0,44.769999999999996,0.946354579813443,0.99,0.001,580.6331027108159,715.0210663869605,500.0,25.0
12.0,54.78999999999999,0.9416228069143757,0.99,0.001,656.4855648491036,650.6833587536648,500.0,26.0
13.0,101.60000000000001,0.9369146928798039,0.99,0.001,751.7319850745153,451.53828582095264,500.0,38.0
14.0,29.51,0.9322301194154049,0.99,0.001,580.9663554470952,701.2324792309344,500.0,15.0
15.0,42.35000000000001,0.9275689688183278,0.99,0.001,551.9454449751661,728.8817279800683,500.0,25.0
16.0,36.879999999999995,0.9229311239742362,0.99,0.001,584.8506928773552,701.2550462149122,500.0,18.0
17.0,30.410000000000007,0.918316468354365,0.99,0.001,500.3608495062411,742.5288124544832,500.0,23.0
18.0,72.39999999999998,0.9137248860125932,0.99,0.001,707.0356285776523,584.5054603642907,500.0,28.0
19.0,41.13000000000001,0.9091562615825302,0.99,0.001,620.5023879656205,673.6166848290608,500.0,21.0
20.0,43.75000000000001,0.9046104802746175,0.99,0.001,636.1507215530461,667.1459669794837,500.0,19.0
21.0,63.04000000000001,0.9000874278732445,0.99,0.001,607.6655764679123,689.8599978286794,500.0,33.0
22.0,30.27,0.8955869907338783,0.99,0.001,555.606784637021,715.6538658723123,500.0,18.0
23.0,33.66000000000001,0.8911090557802088,0.99,0.001,469.0364924199638,639.631194849541,500.0,20.0
24.0,39.17999999999999,0.8866535105013078,0.99,0.001,588.9471198946175,699.2239299043476,500.0,22.0
25.0,29.000000000000004,0.8822202429488013,0.99,0.001,607.7210321020341,694.6701745798545,500.0,13.0
26.0,52.300000000000026,0.8778091417340573,0.99,0.001,669.3836026594687,641.157174650286,500.0,24.0
27.0,36.839999999999996,0.8734200960253871,0.99,0.001,572.221781071528,709.3632822710133,500.0,23.0
28.0,34.260000000000005,0.8690529955452602,0.99,0.001,564.6719345429261,719.8852320727032,500.0,18.0
29.0,34.56,0.8647077305675338,0.99,0.001,592.9215329993293,694.2829640556438,500.0,19.0
30.0,59.06000000000001,0.8603841919146962,0.99,0.001,584.2921077111788,705.8852488372071,500.0,33.0
31.0,35.13000000000001,0.8560822709551227,0.99,0.001,594.3732716239055,701.5077927288035,500.0,17.0
